"Companies","Categorization","Sector","TotalBoardMembers","HausaFulani","Igbo","Yoruba","Minority","NonNative","Years","Employees","OperatingExpenses","TotalExpenses","Sales","Cash","TotalAssets","AssetTurnover","GroupNotgroup","prop_HF_board","prop_I_board","prop_Y_board","prop_M_board","prop_NN_board","homogeneity","diversity"
134,3,3,5,0,2,0,3,0,25,51,168837.96600000001,252543.409,550218.779,13421.682,1149300.129,0.47874246692962824,2,0,0.4,0,0.6,0,0.6,"0"
135,2,1,4,1,1,1,1,0,72,34,42869.961,61717.039000000004,58162.583,-6072869,422332.817,0.1377174130420464,2,0.25,0.25,0.25,0.25,0,0.25,"1"
136,2,1,9,1,1,1,1,5,64,451,28567420,37259957,292177202,-18010135,133787731,2.1838863684742513,2,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.5555555555555556,0.5555555555555556,"0"
137,2,3,10,1,0,0,2,7,56,376,4111616,5190447,3666082,498029,33347783,0.10993480436165727,2,0.1,0,0,0.2,0.7,0.7,"0"
138,2,3,6,0,1,5,0,0,36,NA,260202,267802,790525,25256,785602,1.0062665319080144,2,0,0.16666666666666666,0.8333333333333334,0,0,0.8333333333333334,"0"
139,2,3,6,0,5,1,0,0,72,22,1697556,6086624,3173773,558597,60230775,0.05269354412258517,1,0,0.8333333333333334,0.16666666666666666,0,0,0.8333333333333334,"0"
140,2,3,6,0,4,2,0,0,16,22,1697556,6086624,3173773,558597,60230775,0.05269354412258517,1,0,0.6666666666666666,0.3333333333333333,0,0,0.6666666666666666,"0"
141,2,2,6,1,1,4,0,0,40,93,170039,177992,784795,13664,1745958,0.4494924849280452,2,0.16666666666666666,0.16666666666666666,0.6666666666666666,0,0,0.6666666666666666,"0"
142,2,2,11,1,2,6,2,0,89,1486,5398598,5888197,758761,8126164,48987189,0.015488967942210361,1,0.09090909090909091,0.18181818181818182,0.5454545454545454,0.18181818181818182,0,0.5454545454545454,"1"
143,2,2,5,0,0,4,1,0,11,NA,186807,202323,552901,651566,11036914,0.050095615495418376,2,0,0,0.8,0.2,0,0.8,"0"
144,2,2,10,1,3,4,0,1,97,1010,16599343,17052882,60486835,35458553,103677519,0.5834132180574267,2,0.1,0.3,0.4,0,0.1,0.4,"1"
